THCIC_ID,PROVIDER_NAME,ZIP
254000,Wise Health System,76234
254001,Wise Health System,76234
255000,Methodist Dallas Medical Center,75265
256000,Texas Health Harris Methodist Hospital-Stephenville,76401
258000,Iraan General Hospital,79744
260000,Plains Memorial Hospital,79027
262000,Coon Memorial Hospital & Home,79022
263000,University Medical Center of El Paso,79905
266000,The Hospitals of Providence Sierra Campus,79902
273000,Swisher Memorial Hospital,79088
280000,Hopkins County Memorial Hospital,75482
283000,Metropolitan Methodist Hospital,78212
285000,Baylor Scott & White Medical Center Waxahachie,75165
286000,Christus Mother Frances Hospital Tyler,75701
287000,East Texas Medical Center-Trinity,75862
290000,Rankin County Hospital District,79778
294000,Hamilton Hospital,76374
297000,Wilson N Jones Regional Medical Center,75092
297002,Wilson N Jones Regional Medical Center Behavioral Healt,75092
298000,North Texas Medical Center,76240
299001,CHRISTUS Hospital-St Mary,77642
300000,Baylor Scott & White Medical Center-Irving,75061
301000,Doctors Hospital-Laredo,78045
302000,Memorial Hermann Memorial City Medical Center,77024
303000,Texas Health Presbyterian Hospital-Kaufman,75142
305000,Hamlin Memorial Hospital,79520
307000,Covenant Hospital-Levelland,79336
314001,Valley Baptist Medical Center-Brownsville,78520
315003,Dallas Regional Medical Center,75149
318000,Northwest Texas Hospital,79106
319000,Del Sol Medical Center,79925
323000,Texas Health Harris Methodist Hospital Cleburne,76031
331000,Baylor University Medical Center,75246
332000,Cook Childrens Medical Center,76104
334002,South Texas Regional Medical Center,78026
335000,University Medical Center-Brackenridge,78701
336001,Denton Regional Medical Center,76210
337001,West Houston Medical Center,77082
339001,CHRISTUS Santa Rosa Medical Center,78229
339002,CHRISTUS Santa Rosa Hospital-Westover Hills,78251
340000,Medical City Dallas Hospital,75230
341000,Medical Arts Hospital,79331
343000,Reagan Memorial Hospital,76932
346000,Coryell Memorial Hospital,76528
347000,Memorial Hermann Hospital,77030
348000,Nocona General Hospital,76255
349001,Bayshore Medical Center,77504
355000,Fisher County Hospital District,79546
356000,Pecos County Memorial Hospital,79735
357000,Otto Kaiser Memorial Hospital,78119
362000,Heart of Texas Healthcare System,76825
363000,Baylor Scott & White All Saints Medical Center-Fort Wor,76104
365000,Muenster Memorial Hospital,76252
367000,Reeves County Hospital,79772
368000,Refugio County Memorial Hospital District,78377
369000,Little River Healthcare,76567
370000,Mission Regional Medical Center,78572
374000,East Texas Medical Center-Athens,75751
383000,Hill Regional Hospital,76645
384000,Lyndon B Johnson General Hospital,77026
388000,Martin County Hospital District,79782
389000,Baptist Hospitals of Southeast Texas,77704
390000,Park Plaza Hospital,77004
392000,Nacogdoches Medical Center,75965
393000,Starr County Memorial Hospital,78582
394000,Medical Center-Lewisville,75057
395000,Hansford County Hospital,79081
396001,Nix Specialty Health Center,78230
396002,Nix Health Care System,78205
397000,Rollins Brooks Community Hospital,76550
397001,Metroplex Hospital,76549
398000,CHRISTUS Spohn Hospital Corpus Christi,78404
398001,CHRISTUS Spohn Hospital Corpus Christi-Shoreline,78404
398002,CHRISTUS Spohn Hospital Corpus Christi-South,78414
400000,Valley Baptist Medical Center,78550
401000,East Texas Medical Center-Fairfield,75840
405000,Houston Methodist San Jacinto Hospital,77521
406000,Peterson Regional Medical Center,78028
407000,Memorial Hermann Southwest Hospital,77074
409000,John Peter Smith Hospital,76104
410000,East Texas Medical Center,75701
411000,East Texas Medical Center-Quitman,75783
416000,East Texas Medical Center-Jacksonville,75766
417000,United Regional Health Care System,76301
420000,Hereford Regional Medical Center,79045
422000,Texas Health Arlington Memorial Hospital,76012
424000,Lake Granbury Medical Center,76048
424500,Seton Smithville Regional Hospital,78957
425000,Odessa Regional Medical Center,79761
426000,El Campo Memorial Hospital,77437
427000,Medina Regional Hospital,78861
428000,Throckmorton County Memorial Hospital,76483
429001,CHRISTUS Spohn Hospital-Beeville,78102
430000,Stephens Memorial Hospital,76424
431000,Texas Health Presbyterian Hospital Dallas,75231
433000,Connally Memorial Medical Center,78114
436000,Brazosport Regional Health System,77566
437000,North Hills Hospital,76180
438000,East Texas Medical Center-Pittsburg,75686
439000,Cogdell Memorial Hospital,79549
441000,Frio Regional Hospital,78061
442000,Bayside Community Hospital,77514
444001,CHRISTUS St Elizabeth Hospital,77702
446001,Christus Mother Frances Hospital Winnsboro,75494
448001,UT Southwestern University Hospital-St Paul,75098
449000,Dallas Medical Center,75234
452000,Midland Memorial Hospital,79701
453000,DeTar Hospital-Navarro,77901
453001,DeTar Hospital-North,77904
457000,Hemphill County Hospital,79014
458001,East Houston Regional Medical Center,77015
459000,Ben Taub General Hospital,77030
459001,Quentin Mease Community Hospital,77004
462000,Val Verde Regional Medical Center,78840
464002,Medical Center-Southeast Texas,77640
465000,Covenant Medical Center,79410
466000,Memorial Medical Center-Livingston,77351
467000,Crane Memorial Hospital,79731
468000,Ward Memorial Hospital,79756
469000,Texas Health Harris Methodist Hospital Azle,76020
471000,Rolling Plains Memorial Hospital,79556
474000,Parkland Memorial Hospital,75235
476000,Baylor Scott & White Medical Center Llano,78643
477000,Plaza Medical Center-Fort Worth,76104
478000,Memorial Hospital,78629
480000,Knapp Medical Center,78596
481000,Woodland Heights Medical Center,75901
484000,East Texas Medical Center-Carthage,75633
485000,Yoakum County Hospital,79323
487000,Memorial Medical Center,77979
488000,Driscoll Childrens Hospital,78411
490000,Electra Memorial Hospital,76360
495001,Comanche County Medical Center,76442
497000,Seton Medical Center,78705
500000,Hendrick Medical Center,79601
502000,Medical Center-Arlington,76012
503001,St Lukes Baptist Hospital,78229
505000,Parkview Regional Hospital,76667
506000,Baylor Scott & White Medical Center Hillcrest,76712
506001,Hillcrest Baptist Medical Center,76712
508001,Conroe Regional Medical Center,77304
511000,Baylor Scott & White Medical Center White Rock,75218
513000,Baylor Scott & White Medical Center-Grapevine,76051
517000,Falls Community Hospital & Clinic,76661
522000,Sabine County Hospital,75948
523000,Chillicothe Hospital,79225
525000,Longview Regional Medical Center,75605
526000,Shriners Hospitals for Children,77550
527000,Lavaca Medical Center,77964
534001,Memorial Hermann Katy Hospital,77494
537000,Scott & White Medical Center Temple,76508
537006,Baylor Scott & White McLane Childrens Medical Center,76502
546000,Seymour Hospital,76380
547001,Fort Duncan Regional Medical Center,78852
549000,Methodist Richardson Medical Center,75082
549001,Bush Renner,75082
552000,Bellville St Joseph Health Center,77418
556000,Central Texas Medical Center,78666
559000,Seton Highland Lakes Hospital,78611
560000,Rice Medical Center,77434
568000,Knox County Hospital,79529
569000,Tyler County Hospital,75979
571000,Shamrock General Hospital,79079
